epoch 0, time 6.1, train_loss 120.40, val_loss 28.66 
epoch 1, time 6.7, train_loss 14.12, val_loss 13.28 
epoch 2, time 6.2, train_loss 7.24, val_loss 4.66 
epoch 3, time 6.3, train_loss 4.30, val_loss 3.99 
epoch 4, time 5.9, train_loss 4.19, val_loss 12.99 
epoch 5, time 6.1, train_loss 4.77, val_loss 7.21 
epoch 6, time 6.0, train_loss 3.72, val_loss 3.11 
epoch 7, time 6.1, train_loss 3.26, val_loss 2.75 
epoch 8, time 6.3, train_loss 3.45, val_loss 2.78 
epoch 9, time 6.1, train_loss 4.06, val_loss 2.80 
epoch 10, time 6.4, train_loss 2.83, val_loss 3.08 
epoch 11, time 6.3, train_loss 2.77, val_loss 3.08 
epoch 12, time 6.5, train_loss 2.83, val_loss 2.59 
epoch 13, time 6.4, train_loss 2.59, val_loss 2.98 
epoch 14, time 6.5, train_loss 2.52, val_loss 2.38 
epoch 15, time 6.0, train_loss 2.47, val_loss 2.51 
epoch 16, time 6.2, train_loss 2.70, val_loss 2.23 
epoch 17, time 7.2, train_loss 2.38, val_loss 1.86 
epoch 18, time 7.0, train_loss 2.06, val_loss 2.97 
epoch 19, time 6.4, train_loss 2.08, val_loss 2.43 
epoch 20, time 6.3, train_loss 1.84, val_loss 1.93 
epoch 21, time 6.8, train_loss 2.02, val_loss 1.77 
epoch 22, time 6.2, train_loss 1.78, val_loss 1.68 
epoch 23, time 6.9, train_loss 1.79, val_loss 2.00 
epoch 24, time 6.1, train_loss 1.52, val_loss 1.91 
epoch 25, time 6.1, train_loss 1.66, val_loss 2.23 
epoch 26, time 6.0, train_loss 1.55, val_loss 1.93 
epoch 27, time 6.0, train_loss 1.79, val_loss 1.43 
epoch 28, time 6.2, train_loss 1.74, val_loss 1.54 
epoch 29, time 6.1, train_loss 1.31, val_loss 2.04 
epoch 30, time 5.9, train_loss 1.46, val_loss 1.33 
epoch 31, time 6.4, train_loss 1.36, val_loss 1.18 
epoch 32, time 6.0, train_loss 1.51, val_loss 3.15 
epoch 33, time 6.1, train_loss 1.34, val_loss 1.19 
epoch 34, time 5.9, train_loss 1.12, val_loss 1.71 
epoch 35, time 5.9, train_loss 1.18, val_loss 1.16 
epoch 36, time 6.2, train_loss 0.99, val_loss 1.26 
epoch 37, time 5.9, train_loss 0.98, val_loss 0.96 
epoch 38, time 6.0, train_loss 0.99, val_loss 0.92 
epoch 39, time 6.4, train_loss 0.99, val_loss 0.96 
epoch 40, time 6.1, train_loss 0.89, val_loss 1.01 
epoch 41, time 6.2, train_loss 1.01, val_loss 1.24 
epoch 42, time 6.4, train_loss 0.91, val_loss 1.69 
epoch 43, time 5.8, train_loss 0.97, val_loss 1.03 
epoch 44, time 6.3, train_loss 0.98, val_loss 0.96 
epoch 45, time 5.8, train_loss 1.08, val_loss 1.31 
epoch 46, time 6.0, train_loss 0.90, val_loss 0.97 
epoch 47, time 6.5, train_loss 1.15, val_loss 1.17 
epoch 48, time 6.2, train_loss 1.17, val_loss 0.82 
epoch 49, time 6.7, train_loss 0.92, val_loss 1.33 
epoch 50, time 6.5, train_loss 0.88, val_loss 0.85 
epoch 51, time 6.7, train_loss 1.01, val_loss 1.34 
epoch 52, time 6.6, train_loss 0.92, val_loss 0.86 
epoch 53, time 6.0, train_loss 0.73, val_loss 1.27 
epoch 54, time 6.6, train_loss 1.27, val_loss 1.11 
epoch 55, time 6.0, train_loss 0.83, val_loss 0.95 
epoch 56, time 6.2, train_loss 1.09, val_loss 0.86 
epoch 57, time 6.0, train_loss 0.91, val_loss 0.79 
epoch 58, time 6.1, train_loss 0.83, val_loss 1.62 
epoch 59, time 6.5, train_loss 0.74, val_loss 0.88 
epoch 60, time 6.1, train_loss 0.69, val_loss 0.97 
